No,Sumber,Akun / Media,Judul / Narasi,Label Manual,Label Otomatis
124,X (Twitter),@info_pns,gaji guru pns digabung efisiensi perpajakan,1,
125,CNBC Indonesia,@cnbcindonesia,nota keuangan dana bos naik pengawasan diperketat,0,
126,WhatsApp,Grup Sekolah,undangan rapat koordinasi kemendikbud berbayar kepala sekolah,1,
127,Tempo.co,@tempodotco,nadiem kebebasan prodi buka jalur mandiri langkah efisiensi finansial,0,
128,TikTok,@infoviral,mendikbud perintahkan sekolah menjual buku bekas tambah dana operasional,1,
129,Kompas.com,@kompascom,kemendikbud pangkas anggaran seremonial dialihkan sarana sekolah,0,
130,Instagram,@mahasiswainfo,beasiswa bidikmisi dihapus total januari penggantinya,1,
131,Detik Finance,@detikcom,efisiensi sistem pengadaan sekolah kemendikbud luncurkan fitur siplah,0,
132,Facebook,Forum Dosen,dana sertifikasi dosen cair punya akun gojek,1,
133,CNN Indonesia,@CNNIndonesia,anggaran fungsi pendidikan sebesar rp dikelola lintas kementerian,0,
134,WhatsApp,Grup WA,pendaftaran bantuan sosial pendidikan link sosial pendidikan xyz,1,
135,Republika,@republikaonline,nadiem kampus merdeka kurangi beban regulasi menghambat inovasi,0,
136,X (Twitter),@politik_id,mendikbud tarik dana sekolah membayar bunga utang negara,1,
137,Antara News,@antaranews,kemendikbud jamin dana bos tetap cair perubahan skema transfer,0,
138,TikTok,@edukasi_news,berita buruk guru per januari dilarang mengajar,1,
139,Liputan6,@liputan6dotcom,kemendikbud targetkan ribu mahasiswa dapat kip kuliah tahun,0,
140,Facebook,Info Guru,pemerintah resmi batalkan kenaikan gaji guru honorer awal januari,1,
141,Tempo.co,@tempodotco,nadiem makarim harus pindah budaya administratif budaya inovatif,0,
142,WhatsApp,Grup Sekolah,scan wajah link klaim subsidi pendidikan januari,1,
143,CNBC Indonesia,@cnbcindonesia,sri mulyani penyaluran dana bos langsung sekolah tingkatkan efisiensi,0,
144,Instagram,@scholarship_id,dana beasiswa negeri dialihkan perbaikan sd rusak,1,
145,Kemendikbud,Rilis Pers,efisiensi struktur pelantikan pejabat fungsional kemendikbud,0,
146,Kemendikbud,@Kemdikbud_RI,kebijakan kampus merdeka resmi diluncurkan efisiensi birokrasi ptn,0,
147,WhatsApp,Grup Kampus,link bantuan dana darurat mahasiswa rp rb ancaman virus covid-19,1,
148,Kompas.com,@kompascom,kemendikbud pangkas syarat akreditasi prodi hemat biaya operasional kampus,0,
149,Facebook,Netizen,dana bos februari dipotong subsidi masker nasional,1,
150,Antara News,@antaranews,nadiem mahasiswa boleh mengambil semester prodi guna efisiensi sdm,0,
151,TikTok,@edukasiviral,berita gembira nadiem makarim hapus skripsi mahasiswa angkatan,1,
152,Detik Edu,@detikcom,penyaluran dana bos tahap cair langsung ribu sekolah,0,
153,Instagram,@beasiswahunter,dana beasiswa lpdp ditransfer dana kesehatan antisipasi pandemi,1,
154,Tempo.co,@tempodotco,efisiensi administrasi kemendikbud permudah izin pembukaan prodi,0,
155,WhatsApp,Broadcast,link aktivasi paket internet gratis gb kemendikbud bulan februari,1,
156,Liputan6,@liputan6dotcom,mendikbud ptn bh diberikan otonomi luas cari dana mandiri,0,
157,X (Twitter),@anon_indo,gaji guru honorer februari ditiadakan dialihkan renovasi monas,1,
158,CNN Indonesia,@CNNIndonesia,efisiensi anggaran un tetap digelar pengawasan super ketat,0,
159,Facebook,Kabar Guru,sertifikasi guru triwulan dibatalkan secara sepihak pusat,1,
160,Tirto.id,@tirtoid,nadiem makarim pangkas anggaran rapat hotel dialihkan dana digitalisasi,0,
161,YouTube,Berita News,video nadiem resmi gantikan seragam sekolah baju bebas demi hemat,1,
162,Republika,@republikaonline,kemendikbud targetkan ribu mahasiswa dapat kip kuliah tahun,0,
163,WhatsApp,Grup Sekolah,subsidi biaya wisuda mahasiswa rp juta kemendikbud klik link,1,
164,LLDikti,@lldikti_wil3,penertiban pts aktif langkah efisiensi mutu pendidikan tinggi,0,
165,Instagram,@infokampus,mahasiswa sering demo dicabut hak kip kuliahnya mulai februari,1,
166,Kemenkeu,Nota Keuangan,realisasi dana bos februari pangkas jalur birokrasi,0,
167,TikTok,@politikupdate,dana riset dosen dipakai membiayai influencer pendukung pemerintah,1,
168,Kompas,@hariankompas,digitalisasi ijazah perguruan tinggi hemat biaya cetak miliaran rupiah,0,
169,Facebook,Forum Honorer,anggaran pengangkatan pppk guru resmi dihapus per februari,1,
170,Setkab RI,@setkabgoid,presiden minta kemendikbud fokus efisiensi anggaran belanja barang,0,
171,WhatsApp,Pesan Berantai,bantuan alat kebersihan sekolah rp juta kementerian daftar bit ly,1,
172,CNBC Indonesia,@cnbcindonesia,kemendikbud refocusing anggaran perjalanan dinas negeri,0,
173,X (Twitter),@guru_cerdas,guru dilarang menerima tunjangan instal aplikasi gojek ponsel,1,
174,Tempo.co,@tempodotco,mendikbud dorong kolaborasi kampus industri hemat biaya praktik,0,
175,Instagram,@beasiswagratis,pendaftaran beasiswa unggulan februari situs kemdikbud bantuan site,1,
176,Kemendikbud,Rilis Pers,efisiensi organisasi pengukuhan pejabat fungsional lingkungan dikti,0,
177,WhatsApp,Grup Kelas,subsidi buku semester rp rb cair mengisi formulir link,1,
178,Kemenkeu,Laporan APBN,alokasi dana alokasi khusus dak fisik pendidikan disesuaikan,0,
179,Facebook,Info Loker,kemendikbud rekrut admin sosialisasi kampus merdeka gaji rp juta tanpa tes,1,
180,Detik Finance,@detikcom,investasi dana abadi pendidikan meningkat hasil dialihkan beasiswa,0,
181,TikTok,@mhs_update,demo mahasiswa tolak pengalihan dana ukt pembangunan sirkuit,1,
182,Humas PTN,@univ_indonesia,ui terapkan sistem paperless efisiensi biaya administrasi kampus,0,
183,WhatsApp,Grup Guru,potongan wajib rp rb dana bos biaya administrasi bank,1,
184,Kompasiana,Opini,kebijakan merdeka belajar upaya nadiem memangkas inefisiensi kurikulum,0,
185,Instagram,@scholarship_id,dana beasiswa negeri dipangkas ancaman resesi global,1,
186,BPS,Laporan 2020,tren inflasi biaya pendidikan terkendali awal tahun,0,
187,X (Twitter),@lapor_mas,link verifikasi ponsel guru dapat bonus pulsa februari pusat,1,
188,Kemendikbud,@kemdikbud,nadiem kampus merdeka berikan kebebasan mahasiswa magang berbayar,0,
189,Facebook,Berita Guru,sekolah lapor dana bos februari dilarang menerima siswa,1,
190,Antara News,@antaranews,kemendikbud kaji efisiensi dana tunjangan guru wilayah perkotaan,0,
191,WhatsApp,Grup WA,undian berhadiah laptop program nadiem pintar klik klaim,1,
192,Liputan6,@liputan6dotcom,transformasi pendidikan nadiem ajak swasta ikut biayai riset perguruan tinggi,0,
193,TikTok,@infosekolah,video penutupan massal sekolah swasta dana bos dialihkan,1,
194,Tirto.id,@tirtoid,analisis skema transfer bos langsung persempit ruang fee birokrasi,0,
195,X (Twitter),@edunews,pemerintah batalkan bantuan kip kuliah mahasiswa perokok,1,
196,Kemendikbud,@Kemdikbud_RI,nadiem kebijakan kampus merdeka pangkas biaya administrasi akreditasi kampus,0,
197,WhatsApp,Grup Guru,link pendaftaran bantuan kesejahteraan guru honorer rp juta bulan februari,1,
198,Kompas.com,@kompascom,penyaluran dana bos dipercepat cair tahap operasional,0,
199,Facebook,Info Guru,pemerintah resmi batalkan kenaikan tunjangan guru tahun krisis,1,
200,Antara News,@antaranews,kemendikbud alokasikan dana rp triliun revitalisasi smk berbasis industri,0,
201,TikTok,@edukasiviral,berita gembira nadiem makarim gratiskan kuota internet pelajar,1,
202,Detik Edu,@detikcom,mendikbud otonomi pembukaan prodi hemat anggaran birokrasi,0,
203,Instagram,@beasiswahunter,beasiswa lpdp dialihkan pendanaan vaksin covid-19 negeri,1,
204,Tempo.co,@tempodotco,kemendikbud dorong efisiensi digitalisasi data ijazah mahasiswa,0,
205,WhatsApp,Broadcast,login link bantuan xyz klaim subsidi pendidikan februari,1,
206,Liputan6,@liputan6dotcom,perubahan juknis bos sekolah kini boleh membeli alat multimedia dana bos,0,
207,X (Twitter),@anon_indo,dana bantuan sekolah bos ditahan pusat biaya operasional bandara,1,
208,CNN Indonesia,@CNNIndonesia,efisiensi anggaran nadiem makarim hapus program seremonial kementerian,0,
209,Facebook,Kabar Guru,guru honorer wajib membayar rp ribu verifikasi data pencairan gaji,1,
210,Tirto.id,@tirtoid,analisis skema kampus merdeka kurangi beban biaya penelitian mitra swasta,0,
211,YouTube,Berita News,video nadiem makarim minta rektorat potong gaji dosen efisiensi,1,
212,Republika,@republikaonline,pemerintah tingkatkan kuota kip kuliah menjadi ribu mahasiswa,0,
213,WhatsApp,Grup Sekolah,subsidi pulsa gratis kemdikbud khusus pengguna kartu telkomsel indosat,1,
214,LLDikti,@lldikti_wil3,penertiban pts bermasalah jakarta dilakukan demi efisiensi mutu dikti,0,
215,Instagram,@infokampus,mulai februari mahasiswa ipk wajib membayar ukt penuh,1,
216,Kemenkeu,Nota Keuangan,penghematan belanja barang kemendikbud dialihkan dana bantuan siswa,0,
217,TikTok,@politikupdate,dana abadi pendidikan raib digunakan membayar bunga utang proyek tol,1,
218,Kompas,@hariankompas,digitalisasi pengadaan barang sekolah siplah pangkas potensi mark up anggaran,0,
219,Facebook,Forum Honorer,kemendikbud batalkan rekrutmen pppk anggaran,1,
220,Setkab RI,@setkabgoid,inpres optimalisasi penggunaan dana fungsi pendidikan,0,
221,WhatsApp,Pesan Berantai,bantuan dana renovasi laboratorium sekolah pusat hubungi whatsapp,1,
222,CNBC Indonesia,@cnbcindonesia,kemendikbud hemat rp miliar pembatalan rapat hotel awal tahun,0,
223,X (Twitter),@guru_cerdas,kemendikbud hapus sistem zonasi secara diam diam per februari,1,
224,Tempo.co,@tempodotco,nadiem fokus anggaran pendidikan outcomes spending,0,
225,Instagram,@beasiswagratis,pendaftaran beasiswa unggulan dibuka situs beasiswa go id orang,1,
226,Kemendikbud,Rilis Pers,efisiensi organisasi pengangkatan pejabat fungsional kemendikbud,0,
227,WhatsApp,Grup Kelas,subsidi biaya spp sekolah rp rb bulan cairkan link subsidi sekolah tk,1,
228,Kemenkeu,Laporan APBN,realisasi anggaran fungsi pendidikan februari capai rp triliun,0,
229,Facebook,Info Loker,kemendikbud butuh relawan pjj gaji rp juta bulan,1,
230,Detik Finance,@detikcom,penyaluran dana bos tahap capai daerah terpencil,0,
231,TikTok,@mhs_update,ui itb resmi naikkan ukt biaya pencegahan virus covid-19,1,
232,Humas PTN,@univ_indonesia,universitas indonesia terapkan office efisiensi biaya kertas,0,
233,WhatsApp,Grup Guru,potongan pajak sertifikasi guru naik jadi mulai akhir februari,1,
234,Kompasiana,Opini,kebijakan kampus merdeka langkah cerdas nadiem pangkas birokrasi kampus,0,
235,Instagram,@scholarship_id,dana kip kuliah dialihkan pembangunan rumah sakit darurat wuhan,1,
236,BPS,Laporan 2020,inflasi sektor pendidikan tetap rendah berkat subsidi bos tepat,0,
237,X (Twitter),@lapor_mas,link aktivasi rekening bank guru dapat bonus awal tahun kementerian,1,
238,Kemendikbud,@kemdikbud,mendikbud kurikulum ramping efisien siswa,0,
239,Facebook,Berita Guru,guru pakai aplikasi dapodik dibayar gajinya,1,
240,Antara News,@antaranews,kemendikbud kaji efisiensi dana tunjangan khusus perbatasan ri,0,
241,WhatsApp,Grup WA,promo kuota edukasi gb program merdeka belajar klik,1,
242,Liputan6,@liputan6dotcom,nadiem kebebasan prodi buka jalur mandiri tetap pengawasan ketat,0,
243,TikTok,@infosekolah,daftar sekolah dimerger paksa anggaran turun,1,
244,Tirto.id,@tirtoid,analisis dampak efisiensi rpp lembar psikologi kerja guru,0,
245,X (Twitter),@edunews,pemerintah batalkan bantuan biaya kuliah mahasiswa prodi seni,1,
246,Kemendikbud,@Kemdikbud_RI,program organisasi penggerak pop menggunakan dana hibah efisiensi pelatihan guru,0,
247,WhatsApp,Grup Guru,form pengisian data rekening pencairan subsidi biaya transportasi guru honorer,1,
248,Kompas.com,@kompascom,nadiem pangkas anggaran seremonial kementerian dialihkan sarana sekolah,0,
249,Facebook,Info Guru,pemerintah resmi batalkan dana tunjangan kemahalan guru papua mulai februari,1,
250,Antara News,@antaranews,kemendikbud dorong penggunaan aplikasi siplah efisiensi harga pengadaan barang sekolah,0,
251,TikTok,@edukasiviral,berita gembira nadiem makarim hapus biaya ijazah wisuda lulusan,1,
252,Detik Edu,@detikcom,reformasi dana bos sekolah kini dapat membayar guru honorer anggaran,0,
253,Instagram,@beasiswahunter,dana kip kuliah dialihkan sementara pengadaan thermal scanner bandara,1,
254,Tempo.co,@tempodotco,kemendikbud sederhanakan standar nasional pendidikan efisiensi mutu ptn,0,
255,WhatsApp,Broadcast,link pengaktifan kuota internet gratis pemilik kartu kip sma smk,1,
256,Liputan6,@liputan6dotcom,mendikbud otonomi kampus efisien mencetak lulusan siap kerja,0,
257,X (Twitter),@anon_indo,dana pembangunan ruang kelas dialihkan membayar biaya karantina natuna,1,
258,CNN Indonesia,@CNNIndonesia,efisiensi anggaran kemendikbud integrasikan data guru sistem terpusat,0,
259,Facebook,Kabar Guru,sertifikasi guru wajib lampirkan bukti kepemilikan saham bumn pendidikan,1,
260,Tirto.id,@tirtoid,analisis skema link and match vokasi kurangi inefisiensi kurikulum relevan,0,
261,YouTube,Berita News,video nadiem makarim resmi potong gaji dosen ingin mengajar daring,1,
262,Republika,@republikaonline,pemerintah tingkatkan alokasi dana abadi penelitian perguruan tinggi menjadi rp triliun,0,
263,WhatsApp,Grup Sekolah,bantuan uang tunai rp juta kemendikbud link penerima bantuan site,1,
264,LLDikti,@lldikti_wil3,evaluasi beban kerja dosen aplikasi sister tingkatkan efisiensi pelaporan,0,
265,Instagram,@infokampus,mahasiswa ipk turun wajib kembalikan dana beasiswa bidikmisi,1,
266,Kemenkeu,Nota Keuangan,penyaluran dana bos tahap mencapai tepat pertengahan februari,0,
267,TikTok,@politikupdate,dana riset vaksin dibatalkan anggaran dialihkan biaya kunjungan negeri,1,
268,Kompas,@hariankompas,digitalisasi ijazah digital ijazah pangkas biaya administrasi kelulusan,0,
269,Facebook,Forum Honorer,kemendikbud hapus kuota guru pppk anggaran pendidikan defisit,1,
270,Setkab RI,@setkabgoid,presiden minta kementerian kurangi rapat tatap muka efisiensi operasional,0,
271,WhatsApp,Pesan Berantai,bantuan dana renovasi lab komputer kementerian daftar whatsapp,1,
272,CNBC Indonesia,@cnbcindonesia,kemendikbud hemat rp miliar penyederhanaan birokrasi kementerian,0,
273,X (Twitter),@guru_cerdas,kemendikbud hapus tunjangan daerah terpencil alokasi dana infrastruktur,1,
274,Tempo.co,@tempodotco,nadiem program magang semester hemat biaya pelatihan industri kampus,0,
275,Instagram,@beasiswagratis,pendaftaran beasiswa unggulan situs pendaftaran beasiswa kemdikbud orang,1,
276,Kemendikbud,Rilis Pers,penyesuaian juknis bos peningkatan unit cost per siswa sd smp sma,0,
277,WhatsApp,Grup Kelas,subsidi paket belajar semester genap pusat klaim link belajar gratis tk,1,
278,Kemenkeu,Laporan APBN,realisasi belanja fungsi pendidikan bulan februari naik dibanding tahun,0,
279,Facebook,Info Loker,kemendikbud butuh tenaga honorer administrasi gaji setara umr,1,
280,Detik Finance,@detikcom,kemendikbud luncurkan sistem pelaporan bos daring cegah kebocoran dana,0,
281,TikTok,@mhs_update,ui itb resmi naikkan biaya pendaftaran jalur mandiri,1,
282,Humas PTN,@univ_indonesia,ui terapkan efisiensi penggunaan air listrik hemat biaya operasional,0,
283,WhatsApp,Grup Guru,potongan administrasi pencairan dana sertifikasi bank daerah sebesar rp rb,1,
284,Kompasiana,Opini,kebijakan kampus merdeka langkah nadiem pangkas rantai birokrasi pendidikan,0,
285,Instagram,@scholarship_id,dana beasiswa studi china dialihkan pembangunan rs infeksi,1,
286,BPS,Laporan 2020,penyaluran dana bos berkontribusi stabilitas biaya operasional sekolah daerah,0,
287,X (Twitter),@lapor_mas,link verifikasi ponsel dosen dapat tunjangan pulsa riset februari,1,
288,Kemendikbud,@kemdikbud,mendikbud kampus merdeka memberikan hak mahasiswa belajar kampus,0,
289,Facebook,Berita Guru,guru memiliki akun belajar id per februari gajinya ditahan,1,
290,Antara News,@antaranews,kemendikbud kaji efisiensi dana tunjangan guru sekolah swasta elit,0,
291,WhatsApp,Grup WA,undangan survei kepuasan guru berhadiah saldo dompet digital kementerian,1,
292,Liputan6,@liputan6dotcom,nadiem makarim ajak swasta ikut biayai sarana praktik smk apbn efisien,0,
